"lang"
{
"Language"	"russian"
		"DOTA_Tooltip_ability_meatboy_bloody_chakram_hp_cost"							"%УРОН ОТ ЗДОРОВЬЯ :"

		"DOTA_Tooltip_ability_meatboy_blood_bath"									"Blood bath"
		"DOTA_Tooltip_ability_meatboy_blood_bath_Description"						"Герой создает кровавую лужу , наносящую урон врагам и лечущую союзников!"
		"DOTA_Tooltip_ability_meatboy_blood_bath_duration"							"ДЛИТЕЛЬНОСТЬ :"
		"DOTA_Tooltip_ability_meatboy_blood_bath_radius"							"РАДИУС :"
		"DOTA_Tooltip_ability_meatboy_blood_bath_base_dmg"							"БАЗОВЫЙ УРОН :"
		"DOTA_Tooltip_ability_meatboy_blood_bath_hp_dmg"							"%УРОН ОТ ЗДОРОВЬЯ :"

		"DOTA_Tooltip_ability_meatboy_blood_power"									"Blood power"
		"DOTA_Tooltip_ability_meatboy_blood_power_Description"						"Теряя свое здоровье, герой впадает в ярость , увеличивая скорость атаки !"
		"DOTA_Tooltip_ability_meatboy_blood_power_duration"							"ДЛИТЕЛЬНОСТЬ :"
		"DOTA_Tooltip_ability_meatboy_blood_power_hp_proc"							"%ПОТЕРЯ ЗДОРОВЬЯ :"
		"DOTA_Tooltip_ability_meatboy_blood_power_as_bonus"							"БОНУС СКОРОСТИ АТАКИ :"

		"DOTA_Tooltip_ability_meatboy_meat_power"									"Meat power"
		"DOTA_Tooltip_ability_meatboy_meat_power_Description"						"Напрягая каждую мышцу своего тела, повышает зеленый урон от текущего здоровья !"
		"DOTA_Tooltip_ability_meatboy_meat_power_duration"							"ДЛИТЕЛЬНОСТЬ :"
		"DOTA_Tooltip_ability_meatboy_meat_power_hp_dmg"							"%УРОНА ОТ ТЕКУЩЕГО ЗДОРОВЬЯ :"

		"DOTA_Tooltip_ability_meatboy_blood_rage"									"Blood rage"
		"DOTA_Tooltip_ability_meatboy_blood_rage_Description"						"Атаки наносят урон , зависящий от максимального здоровья ! "
		"DOTA_Tooltip_ability_meatboy_blood_rage_trigger_chance"					"%ШАНС СРАБАТЫВАНИЯ:"
		"DOTA_Tooltip_ability_meatboy_blood_rage_hp_dmg"							"%УРОНА ОТ ЗДОРОВЬЯ:"

//Mars
		"npc_dota_hero_mars"			"Барс"

  		"DOTA_Tooltip_ability_mars_spear_custom"								"Spear of Mars"
		"DOTA_Tooltip_ability_mars_spear_custom_Description"					"Герой бросает своё могучее копьё, нанося урон противникам. Копьё пронзает первого задетого вражеского героя и отталкивает его. Если после этого на пути попадётся дерево, постройка или возвышенность, жертву пригвоздит к препятствию и оглушит."
		"DOTA_Tooltip_ability_mars_spear_custom_Lore"							"Легендарное копьё Марса всё ещё помнит жар божьих горнил."
		"DOTA_Tooltip_ability_mars_spear_custom_Note0"							"Может попасть в невидимых существ."
		"DOTA_Tooltip_ability_mars_spear_custom_projectile_distance"			"ДАЛЬНОСТЬ:"
 		"DOTA_Tooltip_ability_mars_spear_custom_stun_duration"					"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
  		"DOTA_Tooltip_ability_mars_spear_custom_damage"							"УРОН:"
 
		"DOTA_Tooltip_ability_mars_friend"								"General Kenoby"
		"DOTA_Tooltip_ability_mars_friend_Description"					"Верный друг, который следует за Марсом даже после смерти..."
 		"DOTA_Tooltip_ability_mars_friend_dmg_pct"						"%УРОН ОТ АТАКИ:"

		"DOTA_Tooltip_ability_mars_this_is_sparta"								"This is Sparta!"
		"DOTA_Tooltip_ability_mars_this_is_sparta_Description"					"Призывает павших войнов, чтобы те почувствовали вкус битвы !"
 		"DOTA_Tooltip_ability_mars_this_is_sparta_Lore"							"Давно погибшие солдаты Легиона пепла, отобранные из самых лучших воинов, что посмели сразиться с Марсом, по-прежнему с радостью рвутся в битву, непреложно движимые рукой своего палача."
 		"DOTA_Tooltip_ability_mars_this_is_sparta_Note0"						"Убив достаточно юнитов , количество призванных войнов увеличивается."
 		"DOTA_Tooltip_ability_mars_this_is_sparta_spawn_duration"				"ДЛИТЕЛЬНОСТЬ:"
 		"DOTA_Tooltip_ability_mars_this_is_sparta_dmg_pct"						"%УРОН ВОЙНОВ ОТ АТАКИ:"
 		"DOTA_Tooltip_ability_mars_this_is_sparta_unit_count"					"КОЛИЧЕСТВО СОЛДАТ:"
 		"DOTA_Tooltip_ability_mars_this_is_sparta_kill_need"					"УБИЙСТВ НЕОБХОДИМО:"
		"DOTA_Tooltip_modifier_mars_this_is_sparta_stack"						"This is sparta"
		"DOTA_Tooltip_modifier_mars_this_is_sparta_stack_Description"			"No mercy !"

		"DOTA_Tooltip_ability_mars_arena_of_blood_custom"								"Arena of blood"
		"DOTA_Tooltip_ability_mars_arena_of_blood_custom_Description"					"Арена крови - дерись или умри."
 		"DOTA_Tooltip_ability_mars_arena_of_blood_custom_duration"						"ДЛИТЕЛЬНОСТЬ:"
 		"DOTA_Tooltip_ability_mars_arena_of_blood_custom_radius"						"РАДИУС:"
 		"DOTA_Tooltip_ability_mars_arena_of_blood_custom_bonus_dmg"						"%БОНУС УРОНА:"
 		"DOTA_Tooltip_ability_mars_arena_of_blood_custom_resist_dmg"					"%СОПРОТИВЛЕНИЕ УРОНУ:"

//Zombie king
		"npc_dota_hero_undying"			"Zombie king"

 
  		"DOTA_Tooltip_ability_zombie_king_zombie_spawn"							"Zombifest"
		"DOTA_Tooltip_ability_zombie_king_zombie_spawn_Description"				"Убил = получил зомбя. Всё просто !"
		"DOTA_Tooltip_ability_zombie_king_zombie_spawn_params"					"ПАРАМЕТРЫ УБИТОГО:"
  
  		"DOTA_Tooltip_ability_zombie_king_decay"								"Decay"
		"DOTA_Tooltip_ability_zombie_king_decay_Description"					"Забирает силу из всех врагов."
		"DOTA_Tooltip_ability_zombie_king_decay_damage"							"УРОН;"
 		"DOTA_Tooltip_ability_zombie_king_decay_radius"							"РАДИУС:"
 		"DOTA_Tooltip_ability_zombie_king_decay_str_steal"						"КРАЖА СИЛЫ:"
 		"DOTA_Tooltip_ability_zombie_king_decay_buff_duration"					"ДЛИТЕЛЬНОСТЬ"
  		"DOTA_Tooltip_modifier_zombie_king_decay_buff_counter"					"Decay"
		"DOTA_Tooltip_modifier_zombie_king_decay_buff_counter_Description"		"Украденная сила"
 
  		"DOTA_Tooltip_ability_zombie_king_disease_cloud"						"Disease cloud"
		"DOTA_Tooltip_ability_zombie_king_disease_cloud_Description"			"Наносит урон всем ближайшим врагам !"
		"DOTA_Tooltip_ability_zombie_king_disease_cloud_radius"					"РАДИУС:"
 		"DOTA_Tooltip_ability_zombie_king_disease_cloud_dmg_per_sec"			"УРОН В СЕКУНДУ:"
  
  		"DOTA_Tooltip_ability_zombie_king_flesh_power"							"Flesh power"
		"DOTA_Tooltip_ability_zombie_king_flesh_power_Description"				"Усиливает мясную броню, увеличивая броню и регенерацию здоровья."
		"DOTA_Tooltip_ability_zombie_king_flesh_power_duration"					"ДЛИТЕЛЬНОСТЬ:"
 		"DOTA_Tooltip_ability_zombie_king_flesh_power_reg_bonus"				"%БОНУС РЕГЕНЕРАЦИИ:"
		"DOTA_Tooltip_ability_zombie_king_flesh_power_armor_bonus"				"БОНУС БРОНИ:"
 
  		"DOTA_Tooltip_ability_zombie_king_flesh_golem"							"Flesh golem"
		"DOTA_Tooltip_ability_zombie_king_flesh_golem_Description"				"Создаёт мясного голема из тел всех зомби !"
		"DOTA_Tooltip_ability_zombie_king_flesh_golem_params"					"%ПАРАМЕТРЫ КОНВЕРТАЦИИ:"
  		"DOTA_Tooltip_modifier_zombie_king_flesh_golem_stacks"					"Flesh golem"
		"DOTA_Tooltip_modifier_zombie_king_flesh_golem_stacks_Description"		"Количество тел, потраченных на создание!"

  		"DOTA_Tooltip_ability_zombie_king_plague"								"Plague"
		"DOTA_Tooltip_ability_zombie_king_plague_Description"					"Губительная чума не позволяющая восстанавливать здоровье !"
		"DOTA_Tooltip_ability_zombie_king_plague_duration"						"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_zombie_king_plague_max_hp_dmg"					"%УРОН ОТ МАКСИМАЛЬНОГО ЗДОРОВЬЯ:"

		"npc_dota_zombie_king_spawn"		"Зомби"
		"npc_dota_zombie_king_butcher"		"Мясной голем"

//Rogue knight
		"npc_dota_hero_sven"			"Rogue knight"

 
  		"DOTA_Tooltip_ability_sven_thirsty_blade"								"Thirsty blade"
		"DOTA_Tooltip_ability_sven_thirsty_blade_Description"					"Меч жаждущий огромной силы !"
		"DOTA_Tooltip_ability_sven_thirsty_blade_cleave_damage_pct"				"%СПЛЕШ:"
		"DOTA_Tooltip_ability_sven_thirsty_blade_stack_bonus_dmg"				"УРОН ЗА УБИЙСТВО:"
		"DOTA_Tooltip_modifier_sven_thirsty_blade"					"Thirsty blade"
		"DOTA_Tooltip_modifier_sven_thirsty_blade_Description"		"Каждое убийство усиляет меч"
 
  		"DOTA_Tooltip_ability_sven_shockwave"								"Shockwave"
		"DOTA_Tooltip_ability_sven_shockwave_Description"					"Разрушительная волна, уничтожающая противников на своем пути !"
		"DOTA_Tooltip_ability_sven_shockwave_wave_distance"					"ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_sven_shockwave_damage_pct"					"%УРОН ВОЛНЫ:"
		"DOTA_Tooltip_ability_sven_shockwave_stun_duration"					"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_sven_shockwave_debuff_duration"				"ДЛИТЕЛЬНОСТЬ СНИЖЕНИЯ БРОНИ:"
		"DOTA_Tooltip_ability_sven_shockwave_armor_debuff"					"СНИЖЕНИЕ БРОНИ:"
 		"DOTA_Tooltip_modifier_sven_shockwave_debuff"					"Shockwave debuff"
		"DOTA_Tooltip_modifier_sven_shockwave_debuff_Description"		"Броня снижена"
 
  		"DOTA_Tooltip_ability_sven_powerup"								"Powerup"
		"DOTA_Tooltip_ability_sven_powerup_Description"					"Напрягает все мышцы, чтобы совершить одну сильную атаку !"
		"DOTA_Tooltip_ability_sven_powerup_buff_duration"				"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_sven_powerup_bonus_dmg"					"%БОНУС УРОНА:"
 		"DOTA_Tooltip_modifier_sven_powerup"					"Powerup"
		"DOTA_Tooltip_modifier_sven_powerup_Description"		"Вы весь напряжены !"
  
  		"DOTA_Tooltip_ability_sven_god_armor"								"Gods armor"
		"DOTA_Tooltip_ability_sven_god_armor_Description"					"Броня богов даёт огромную живучесть !"
		"DOTA_Tooltip_ability_sven_god_armor_dmg_resist"					"%СНИЖЕНИЕ УРОНА:"
		"DOTA_Tooltip_ability_sven_god_armor_status_resist"					"%СОПРОТИВЛЕНИЕ ЭФФЕКТАМ:"

  		"DOTA_Tooltip_ability_sven_god_strength"								"Gods strength"
		"DOTA_Tooltip_ability_sven_god_strength_Description"					"Sven концентрирует свою неконтролируемую силу ! "
		"DOTA_Tooltip_ability_sven_god_strength_buff_duration"					"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_sven_god_strength_bonus_str"						"БОНУС СИЛЫ:"
		"DOTA_Tooltip_ability_sven_god_strength_bonus_dmg"						"%БОНУС УРОНА:"
		"DOTA_Tooltip_modifier_sven_god_strength"					"Gods strength"
		"DOTA_Tooltip_modifier_sven_god_strength_Description"		"В ваших руках сила  богов!"

  		"DOTA_Tooltip_ability_sven_god_power"							"Gods power"
		"DOTA_Tooltip_ability_sven_god_power_Description"				"Мощь богов даёт неуязвимость к заклинаниям и увеличивает силу меча !"
		"DOTA_Tooltip_ability_sven_god_power_buff_duration"				"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_sven_god_power_blade_multiplier"			"МНОЖИТЕЛЬ СИЛЫ МЕЧА:"
		"DOTA_Tooltip_modifier_sven_god_power"					"Gods power"
		"DOTA_Tooltip_modifier_sven_god_power_Description"		"В ваших руках мошь богов!"
		
		"DOTA_Tooltip_ability_item_greatsword"								"<font color=\"#7FFFD4\">Greatsword</font>"
		"DOTA_Tooltip_ability_item_greatsword_Description"					"Великий меч способный носить только настоящий воин !"
		"DOTA_Tooltip_ability_item_greatsword_rapier_dmg"					"+$damage"
		"DOTA_Tooltip_ability_item_sgreatsword_rapier_str"					"+$str"
		"DOTA_Tooltip_ability_item_greatsword_rapier_agi"					"+$agi"
		"DOTA_Tooltip_ability_item_greatsword_rapier_int"					"+$int"
		
		"DOTA_Tooltip_ability_item_shattered_greatsword"							"<font color=\"#7FFFD4\">Shattered greatsword</font>"
		"DOTA_Tooltip_ability_item_shattered_greatsword_Description"				"Расколотый великий меч дает постоянную силу бога носителю!"
		"DOTA_Tooltip_ability_item_shattered_greatsword_rapier_dmg"					"+$damage"
		"DOTA_Tooltip_ability_item_shattered_greatsword_rapier_str"					"+$str"
		"DOTA_Tooltip_ability_item_shattered_greatsword_rapier_agi"					"+$agi"
		"DOTA_Tooltip_ability_item_shattered_greatsword_rapier_int"					"+$int"
		
//Spiders queen
		"npc_dota_hero_broodmother"			"Королева пауков"

   		"DOTA_Tooltip_ability_broodmother_spawn_spiderling"							"Progeny of brood"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderling_Description"				"Каждый убитый враг будет сосудом для выращивания будущего потомства !"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderling_spawn_duration"			"ДЛИТЕЛЬНОСТЬ ЖИЗНИ:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderling_base_hp"					"БАЗОВОЕ ЗДОРОВЬЕ:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderling_upgrade_hp"				"УЛУЧШЕНИЕ ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderling_base_dmg"				"БАЗОВАЯ АТАКА:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderling_upgrade_dmg"				"УЛУЧШЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderling_base_armor"				"БАЗОВАЯ БРОНЯ:"
  
		"DOTA_Tooltip_ability_broodmother_upgrade_spiderling"								"Grow of brood"
		"DOTA_Tooltip_ability_broodmother_upgrade_spiderling_Description"					"Улучшает жизнеспособность будущего потомства !"
		"DOTA_Tooltip_modifier_broodmother_upgrade_spiderling"					"Grow of brood"
		"DOTA_Tooltip_modifier_broodmother_upgrade_spiderling_Description"		"Потомство более жизнеспособно"

  		"DOTA_Tooltip_ability_broodmother_spider_sting"							"Spider sting"
		"DOTA_Tooltip_ability_broodmother_spider_sting_Description"				"Ядовитые железы позволяют отравлять противников."
		"DOTA_Tooltip_ability_broodmother_spider_sting_as_ms_slow"				"%ЗАМЕДЛЕНИЕ АТАКИ/ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_broodmother_spider_sting_duration"				"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_broodmother_spider_sting_dmg_per_sec"				"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_modifier_broodmother_spider_sting_debuff"					"Spider sting"
		"DOTA_Tooltip_modifier_broodmother_spider_sting_debuff_Description"		"Враг отравлен"

   		"DOTA_Tooltip_ability_broodmother_spawn_guard"								"Spawn queen guard"
		"DOTA_Tooltip_ability_broodmother_spawn_guard_Description"					"Создаёт особого паука для охраны королевы."
		"DOTA_Tooltip_ability_broodmother_spawn_guard_egg_duration"					"ДЛИТЕЛЬНОСТЬ ВЫРАЩИВАНИЯ:"
		"DOTA_Tooltip_ability_broodmother_spawn_guard_base_hp"					"БАЗОВОЕ ЗДОРОВЬЕ:"
		"DOTA_Tooltip_ability_broodmother_spawn_guard_upgrade_hp"				"УЛУЧШЕНИЕ ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_broodmother_spawn_guard_base_dmg"				"БАЗОВАЯ АТАКА:"
		"DOTA_Tooltip_ability_broodmother_spawn_guard_upgrade_dmg"				"УЛУЧШЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_broodmother_spawn_guard_base_armor"				"БАЗОВАЯ БРОНЯ:"

//MARK
		"npc_dota_hero_obsidian_destroyer"			"MARK"
		
		"DOTA_Tooltip_Ability_mark_strength"                                 "STRENGTH"
		"DOTA_Tooltip_ability_mark_strength_Description"                     "Сила делает марка сильнее!"
		"DOTA_Tooltip_ability_mark_strength_crit_chance"                     "%ШАНС КРИТА:"
		"DOTA_Tooltip_ability_mark_strength_str_mult"                        "%МНОЖИТЕЛЬ КРИТА ЗА СИЛУ:"
		"DOTA_Tooltip_ability_mark_strength_base_dmg"                        "БАЗОВЫЙ УРОН:"
		"DOTA_Tooltip_ability_mark_strength_str_dmg"                         "УРОН ЗА СИЛУ:"
		"DOTA_Tooltip_ability_mark_strength_radius"                          "РАДИУС:"
		"DOTA_Tooltip_ability_mark_strength_stun_duration"                   "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		
		"DOTA_Tooltip_Ability_mark_agility"                                 "AGILITY"
		"DOTA_Tooltip_ability_mark_agility_Description"                     "Ловкость делает марка быстрее!"
		"DOTA_Tooltip_ability_mark_agility_duration"                        "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_mark_agility_base_as"                         "БОНУС СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_mark_agility_agi_ms"                          "СКОРОСТИ ЗА ЛОВКОСТЬ:"
		
		"DOTA_Tooltip_Ability_mark_intellect"                                      "INTELLECT"
		"DOTA_Tooltip_ability_mark_intellect_Description"                          "Интеллект делает марка умнее!"
		"DOTA_Tooltip_ability_mark_intellect_int_cooldown"                         "COOLDOWN REDUCE PER INT:"
		"DOTA_Tooltip_ability_mark_intellect_base_heal"                         "БАЗОВОЕ ЛЕЧЕНИЕ:"
		"DOTA_Tooltip_ability_mark_intellect_int_heal"                          "ЛЕЧЕНИЕ ЗА ИНТЕЛЛЕКТ:"
		
		"DOTA_Tooltip_Ability_mark_developer_present"                              "Developer present"
		"DOTA_Tooltip_ability_mark_developer_present_Description"                  "Создатель ценит Марка и дарит ему подарок !"
		
		"DOTA_Tooltip_Ability_mark_good_discount"                                  "Good discount"
		"DOTA_Tooltip_ability_mark_good_discount_Description"                      "Купить пачку статов по хорошей цене !"
		
		"DOTA_Tooltip_Ability_mark_good_deal"                                      "Good deal"
		"DOTA_Tooltip_ability_mark_good_deal_Description"                          "Хорошая сделка. Ты мне деньги, а я тебе мошь ..."

		"DOTA_Tooltip_modifier_mark_strength"                              "Strength buff"
		"DOTA_Tooltip_modifier_mark_strength_Description"                  "Strength buff"
		
 		"DOTA_Tooltip_modifier_mark_agility_buff"                              "Agility buff"
		"DOTA_Tooltip_modifier_mark_agility_buff_Description"                  "Agility buff"
		
 		"DOTA_Tooltip_modifier_mark_intellect"                              "Intellect buff"
		"DOTA_Tooltip_modifier_mark_intellect_Description"                  "Intellect buff"

//Spectre
		"npc_dota_hero_spectre"			"Темная душа"
		
		"DOTA_Tooltip_Ability_spectre_soul_eater"                         			"Пожиратель душ"
		"DOTA_Tooltip_ability_spectre_soul_eater_Description"           			"Пожирает души врагов, становясь сильнее"
		"DOTA_Tooltip_ability_spectre_soul_eater_stat_per_kill"                     "СТАТОВ ЗА УБИЙСТВО:"
		"DOTA_Tooltip_modifier_spectre_soul_eater"                            	"Пожиратель душ"
		"DOTA_Tooltip_modifier_spectre_soul_eater_Description"                	"Становится сильнее с каждой душой"
		
		"DOTA_Tooltip_Ability_spectre_dagger_custom"                         			"Крик души"
		"DOTA_Tooltip_ability_spectre_dagger_custom_Description"           				"Заблудшая душа пронзает свои врагов криком своей души."
		"DOTA_Tooltip_ability_spectre_dagger_custom_wave_distance"                        	"ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_spectre_dagger_custom_base_dmg"                        		"БАЗОВЫЙ УРОН:"
		"DOTA_Tooltip_ability_spectre_dagger_custom_damage_pct"                        		"%УРОН ОТ АТРИБУТОВ:"
		"DOTA_Tooltip_ability_spectre_dagger_custom_stun_duration"                        	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_spectre_dagger_custom_debuff_duration"                        "ДЛИТЕЛЬНОСТЬ ДЕБАФА:"
		"DOTA_Tooltip_ability_spectre_dagger_custom_armor_debuff"                        	"СНИЖЕНИЕ БРОНИ:"
		"DOTA_Tooltip_modifier_spectre_dagger_custom_debuff"                            	"Крик души"
		"DOTA_Tooltip_modifier_spectre_dagger_custom_debuff_Description"                	"Снижение брони"
		
		"DOTA_Tooltip_Ability_spectre_desolate_custom"                         			"Умертвление"
		"DOTA_Tooltip_ability_spectre_desolate_custom_Description"           				"Умертвляет своих врагов серией ударов."
		"DOTA_Tooltip_ability_spectre_desolate_custom_bounce_distance"                      "РАДИУС УДАРОВ:"
		"DOTA_Tooltip_ability_spectre_desolate_custom_count"                        		"КОЛИЧЕСТВО УДАРОВ:"
		"DOTA_Tooltip_modifier_spectre_desolate_custom"                            	"Умертвление"
		"DOTA_Tooltip_modifier_spectre_desolate_custom_Description"                	"Умертвление"
		
		"DOTA_Tooltip_Ability_spectre_dispersion_custom"                         			"Накопление массы"
		"DOTA_Tooltip_ability_spectre_dispersion_custom_Description"           				"Отображает свою душу, каторая при ударах врага показывает свою истинную силу"
		"DOTA_Tooltip_ability_spectre_dispersion_custom_damage_reflection_pct"              "%ОТРАЖЕНИЕ УРОНА:"
		
		"DOTA_Tooltip_Ability_spectre_strong_gravity"                         			"Повышенная гравитация"
		"DOTA_Tooltip_ability_spectre_strong_gravity_Description"           			"Накапливает свою массу, чтобы стать более крепкой."
		"DOTA_Tooltip_ability_spectre_strong_gravity_stack_health"                        	"ЗДОРОВЬЕ ЗА СТАК:"
		"DOTA_Tooltip_ability_spectre_strong_gravity_stack_regen"                        	"РЕГЕНЕРАЦИЯ ЗА СТАК:"
		"DOTA_Tooltip_ability_spectre_strong_gravity_bonus_status_resist"               "СТАТУС РЕЗИСТ:"
		"DOTA_Tooltip_ability_spectre_strong_gravity_grow_interval"                     "ИНТЕРВАЛ РОСТА:"
		"DOTA_Tooltip_ability_spectre_strong_gravity_duration"                        	"ДЛИТЕЛЬНОСТЬ БАФА:"
		"DOTA_Tooltip_ability_spectre_strong_gravity_stat_mult"                        	"УМНОЖЕНИЕ АТРИБУТ:"
		"DOTA_Tooltip_modifier_spectre_strong_gravity"                            	"Накопление силы"
		"DOTA_Tooltip_modifier_spectre_strong_gravity_Description"                	"Накопление силы"
		"DOTA_Tooltip_modifier_spectre_strong_gravity_buff"                            	"Реализация души"
		"DOTA_Tooltip_modifier_spectre_strong_gravity_buff_Description"                	"Реализация души"
		
		"DOTA_Tooltip_Ability_spectre_immortality"                         			"Высвобождение силы"
		"DOTA_Tooltip_ability_spectre_immortality_Description"           				"Высвобождает все свою мощь убивая врагов !"
		"DOTA_Tooltip_ability_spectre_immortality_duration"                        		"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_spectre_immortality_bonus_crit"                        	"%КРИТИЧЕСКИЙ УРОН:"
		"DOTA_Tooltip_modifier_spectre_immortality"                            	"Высвобождение силы"
		"DOTA_Tooltip_modifier_spectre_immortality_Description"                	"Высвобождение силы"
		
		"DOTA_Tooltip_Ability_item_mystic_dagger"                         			"<font color=\"#7FFFD4\">Mystic armor</font>"
		"DOTA_Tooltip_ability_item_mystic_dagger_Description"           			"Mystic armor from alternative universe..."
		"DOTA_Tooltip_ability_item_mystic_dagger_bonus_dmg"                        	"БОНУС УРОНА:"
		"DOTA_Tooltip_ability_item_mystic_dagger_bonus_str"                        	"БОНУС СИЛЫ:"
		"DOTA_Tooltip_ability_item_mystic_dagger_bonus_agi"                        	"БОНУС ЛОВКОСТИ:"
		"DOTA_Tooltip_ability_item_mystic_dagger_bonus_int"                        	"БОНУС ИНТЕЛЛЕКТ:"

		"DOTA_Tooltip_Ability_item_mystic_dagger_upgrade"                         			"<font color=\"#7FFFD4\">Mystic armor</font>"
		"DOTA_Tooltip_ability_item_mystic_dagger_upgrade_Description"           			"Mystic armor from alternative universe... Умножает силу 'Пожирателя душ' и возможность проходить сквозь предпятствия !"
		"DOTA_Tooltip_ability_item_mystic_dagger_upgrade_bonus_dmg"                        	"БОНУС УРОНА:"
		"DOTA_Tooltip_ability_item_mystic_dagger_upgrade_bonus_str"                        	"БОНУС СИЛЫ:"
		"DOTA_Tooltip_ability_item_mystic_dagger_upgrade_bonus_agi"                        	"БОНУС ЛОВКОСТИ:"
		"DOTA_Tooltip_ability_item_mystic_dagger_upgrade_bonus_int"                        	"БОНУС ИНТЕЛЛЕКТ:"
//Monkey king
		"npc_dota_hero_monkey_king"			"Monkey king"
 

		"DOTA_Tooltip_Ability_monkey_king_mischief_custom"                         			"Mischief"
		"DOTA_Tooltip_ability_monkey_king_mischief_custom_Description"           				"Ловкость Короля обезьян дает ему возможность наносить критические удары, а так же уклоняться от атак врагов"
		"DOTA_Tooltip_ability_monkey_king_mischief_custom_crit_chance"                        	"%ШАНС КРИТА:"
		"DOTA_Tooltip_ability_monkey_king_mischief_custom_dodge_chance"                        	"%ШАНС УКОЛЕНЕНИЯ:"
		"DOTA_Tooltip_ability_monkey_king_mischief_custom_crit_multiplier"                        	"%МНОЖИТЕЛЬ КРИТА:"
	
		"DOTA_Tooltip_Ability_monkey_king_boundless_strike_custom"                         			"Boundless strike"
		"DOTA_Tooltip_ability_monkey_king_boundless_strike_custom_Description"           				"Герой увеличивает свой посох и бьёт им по земле, оглушая всех попавшихся врагов. Такая атака наносит критический урон и не может промахнуться"
		"DOTA_Tooltip_ability_monkey_king_boundless_strike_custom_strike_range"                        	"ДАЛЬНОСТЬ УДАРА:"
		"DOTA_Tooltip_ability_monkey_king_boundless_strike_custom_crit_multiplier"                        	"%МНОЖИТЕЛЬ КРИТА:"

		"DOTA_Tooltip_Ability_monkey_king_power_jump"                         			"Power jump"
		"DOTA_Tooltip_ability_monkey_king_power_jump_Description"           			"Король обезьян прыгает на свою жертву и получает бонусную скорость атаки"
		"DOTA_Tooltip_ability_monkey_king_power_jump_jump_range"                        "ДАЛЬНОСТЬ ПРЫЖКА:"
		"DOTA_Tooltip_ability_monkey_king_power_jump_bonus_as"                        	"AS BONUS:"
		"DOTA_Tooltip_ability_monkey_king_power_jump_buff_duration"                     "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_monkey_king_power_jump_buff"                            	"Power jump"
		"DOTA_Tooltip_modifier_monkey_king_power_jump_buff_Description"                	"Получает скорость атаки"
	
		"DOTA_Tooltip_Ability_monkey_king_jingu_mastery_custom"                         			"Jingu mastery"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_custom_Description"           				"Атаки Короля обезьян имеют шанс пробудить истинную мощь его посоха"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_custom_trigger_chance"                        	"%ШАНС СРАБАТЫВАНИЯ:"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_custom_lifesteal_pct"                        	"%ВАМПИРИЗМ:"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_custom_bonus_dmg"                        	"БОНУС УРОНА:"
		"DOTA_Tooltip_modifier_monkey_king_jingu_mastery_custom_buff"                            	"Jingu mastery"
		"DOTA_Tooltip_modifier_monkey_king_jingu_mastery_custom_buff_Description"                	"Сила удара увеличена"
	
		"DOTA_Tooltip_Ability_monkey_king_immortal_secret"                         			"Mystery of immortality"
		"DOTA_Tooltip_ability_monkey_king_immortal_secret_Description"           				"<h1>Активная: Сила жизни </h1><br>При активации Король обезьян становится един с природой - увеличивается в росте и получает истинную разрушительную силу.<br><br><h1>Пассивная: Бессмертие </h1><br> В случае получения критического урона Король обезьян становится неуязвимым и восстанавливает часть своего здоровья."
