"lang"
{
        "Language"                "schinese"
                "DOTA_Tooltip_ability_lone_druid_spirit_bear_resist_status_resist"                                              "%状态抗性:"

                "DOTA_Tooltip_ability_lone_druid_spirit_bear_vitality"                                                                  "棕熊生命力"
                "DOTA_Tooltip_ability_lone_druid_spirit_bear_vitality_Description"                                              "熊的生命力增加生命恢复!"
                "DOTA_Tooltip_ability_lone_druid_spirit_bear_vitality_regen_pct"                                                "%最大生命值恢复:"

//Pangolier

                "npc_dota_hero_pangolier"                       "石鳞剑士"

                "DOTA_Tooltip_ability_pangolier_greed"                                                          "强盗的贪婪"
                "DOTA_Tooltip_ability_pangolier_greed_Description"                                      "石鳞剑士从他的敌人和赏金符文中合成额外的黄金.每次击杀 , 石鳞剑士获得基础赏金和额外赏金 . 如果石鳞剑士在 %duration% 秒内击杀另外一个单位, 那么他所获得的附加额外金钱将有一定幅度的增加. 另外，赏金神符将提供成倍金钱."
                "DOTA_Tooltip_ability_pangolier_greed_Lore"                                                     "不要告诉炼金术士我抄了他的作业!"
                "DOTA_Tooltip_ability_pangolier_greed_duration"                                         "最近击杀:"
                "DOTA_Tooltip_ability_pangolier_greed_bonus_gold"                                       "基础赏金:"
                "DOTA_Tooltip_ability_pangolier_greed_bonus_bonus_gold"                         "额外赏金:"             
                "DOTA_Tooltip_ability_pangolier_greed_bonus_gold_cap"                           "每次击杀最大赏金:"
                "DOTA_Tooltip_ability_pangolier_greed_bounty_multiplier"    "赏金符倍数:"

                "DOTA_Tooltip_ability_pangolier_gyroscuter"                                             "地雷滚滚 !"
                "DOTA_Tooltip_ability_pangolier_gyroscuter_Description"                 "石鳞剑士卷成一个技能免疫状态的圆球，隆隆地向前滚去。滚动时移动速度提升，可以碾过树木，但是转身速率降低. 敌人被击中后会被击退，然后受到伤害和眩晕. \n\n与地形障碍相撞后会暂时停止滚动，并且滚动方向变反."
                "DOTA_Tooltip_ability_pangolier_gyroscuter_Lore"                                        "在他的祖先只寻求庇护的地方，石鳞剑士看到了机会..."
                "DOTA_Tooltip_ability_pangolier_gyroscuter_cast_time_tooltip"   "变形时间:"
                "DOTA_Tooltip_ability_pangolier_gyroscuter_forward_move_speed"  "滚动速度:"
                "DOTA_Tooltip_ability_pangolier_gyroscuter_hit_radius"                  "范围:"
                "DOTA_Tooltip_ability_pangolier_gyroscuter_knockback_radius"            "击退距离:"
                "DOTA_Tooltip_ability_pangolier_gyroscuter_stun_duration"               "眩晕时间:"
                "DOTA_Tooltip_ability_pangolier_gyroscuter_duration"                            "持续时间:"

                
                "DOTA_Tooltip_modifier_pangolier_gyroscuter"                                                    "滚雷 !"
                "DOTA_Tooltip_modifier_pangolier_gyroscuter_Description"                                "自然雄壮!"
                "DOTA_Tooltip_modifier_pangolier_gyroscuter_stunned"                                    "滚雷眩晕"
                "DOTA_Tooltip_modifier_pangolier_gyroscuter_stunned_Description"                "被地雷滚滚眩晕!"

                "DOTA_Tooltip_ability_special_bonus_unique_pangolier_3"                 "+500 虚张声势伤害"
                "DOTA_Tooltip_ability_special_bonus_unique_pangolier_4"                 "-5s 虚张声势冷却时间"
                "DOTA_Tooltip_ability_special_bonus_unique_pangolier_5"                 "-10s 滚雷"

//BeastMaster

                "npc_dota_hero_beastmaster"                     "兽王"
                
                "DOTA_Tooltip_ability_inherit_beastmaster_buff"                                                                 "兽王增强"
                "DOTA_Tooltip_ability_inherit_beastmaster_buff_Description"                                             "一个荒野的人。他一生的大部分时间都与动物朋友远离文明。现在他带领他们参战!"
                "DOTA_Tooltip_ability_inherit_beastmaster_buff_dmg_bonus"                                               "%额外伤害 :"
                "DOTA_Tooltip_ability_inherit_beastmaster_buff_as_bonus"                                                "额外攻击速度 :"
                "DOTA_Tooltip_modifier_inherit_beastmaster_buff"                                                                "兽王增强"
                "DOTA_Tooltip_modifier_inherit_beastmaster_buff_Description"                                    "野兽的主人"
                
                "DOTA_Tooltip_ability_beastmaster_summon_boar"  "野性呼唤：豪猪"
                "DOTA_Tooltip_ability_beastmaster_summon_boar_Description"              "兽王召唤强力的豪猪作为战场上的战友. 豪猪的三围属性由兽王属性决定!"
                "DOTA_Tooltip_ability_beastmaster_summon_boar_summon_hp"                "豪猪生命值:"
                "DOTA_Tooltip_ability_beastmaster_summon_boar_summon_dmg"               "豪猪伤害:"
                "DOTA_Tooltip_ability_beastmaster_summon_boar_summon_bat"               "豪猪攻击间隔:"             
                "DOTA_Tooltip_ability_beastmaster_summon_boar_hp_per_str"               "每点力量生命:"
                "DOTA_Tooltip_ability_beastmaster_summon_boar_armor_per_agi"    "每点敏捷护甲:"
                "DOTA_Tooltip_ability_beastmaster_summon_boar_dmg_per_int"              "每点智力伤害:"

                "DOTA_Tooltip_ability_beastmaster_boar_crit"    "致命一击"
                "DOTA_Tooltip_ability_beastmaster_boar_crit_Description"        "残忍的野猪一有机会就攻击敌人未受保护的要害部位，造成致命的伤害."
                "DOTA_Tooltip_ability_beastmaster_boar_crit_crit_chance"        "%触发概率:"
                "DOTA_Tooltip_ability_beastmaster_boar_crit_crit_mult"  "%致命一击倍率:"

                "npc_dota_beastmaster_boar_1"                   "豪猪"
                "npc_dota_beastmaster_boar_2"                   "豪猪"
                "npc_dota_beastmaster_boar_3"                   "豪猪"
                "npc_dota_beastmaster_boar_4"                   "豪猪"
                "npc_dota_beastmaster_boar_5"                   "豪猪"
                "npc_dota_beastmaster_boar_6"                   "豪猪"
                "npc_dota_beastmaster_boar_7"                   "豪猪"

                "DOTA_Tooltip_ability_beastmaster_battle_roar"  "战斗咆哮"
                "DOTA_Tooltip_ability_beastmaster_battle_roar_Description"      "兽人的咆哮鼓舞着他的盟友们战斗，增加伤害和物理抗性. 持续 %duration_tooltip% 秒."
                "DOTA_Tooltip_ability_beastmaster_battle_roar_duration" "持续时间:"
                "DOTA_Tooltip_ability_beastmaster_battle_roar_radius"   "范围:"
                "DOTA_Tooltip_ability_beastmaster_battle_roar_dmg_bonus"        "%额外伤害:"
                "DOTA_Tooltip_ability_beastmaster_battle_roar_resist"   "%物理抗性:"
                
                "DOTA_Tooltip_ability_beastmaster_summon_hawk"  "野性呼唤战鹰"
                "DOTA_Tooltip_ability_beastmaster_summon_hawk_Description"              "兽王派出一只隐形的战鹰加入战场.战鹰的三围属性由兽王属性决定!"
                "DOTA_Tooltip_ability_beastmaster_summon_hawk_summon_hp"                "战鹰生命:"
                "DOTA_Tooltip_ability_beastmaster_summon_hawk_summon_dmg"               "战鹰伤害:"
                "DOTA_Tooltip_ability_beastmaster_summon_hawk_summon_bat"               "战鹰攻击间隔:"             
                "DOTA_Tooltip_ability_beastmaster_summon_hawk_hp_per_str"               "每点力量生命:"
                "DOTA_Tooltip_ability_beastmaster_summon_hawk_dmg_per_int"              "每点智力伤害:"
                "DOTA_Tooltip_ability_beastmaster_summon_hawk_armor_per_agi"    "每点敏捷护甲:"
                "DOTA_Tooltip_ability_beastmaster_summon_hawk_bat_per_agi"              "每点敏捷减少攻击间隔:"

                "DOTA_Tooltip_ability_beast_master_hawk_split"  "Split Shot"
                "DOTA_Tooltip_ability_beast_master_hawk_split_Description"      "战鹰神奇地把他的攻击分裂几次攻击. \n\n额外目标不会受到其他攻击效果（如暴击）."
                "DOTA_Tooltip_ability_beast_master_hawk_split_arrow_count"      "目标数量:"
                
                "npc_dota_scout_hawk1"                  "战鹰"
                "npc_dota_scout_hawk2"                  "战鹰"
                "npc_dota_scout_hawk3"                  "战鹰"
                "npc_dota_scout_hawk4"                  "战鹰"
                "npc_dota_scout_hawk5"                  "战鹰"

                "DOTA_Tooltip_ability_beastmaster_summon_dinosaur"      "召唤豪猪恐龙"
                "DOTA_Tooltip_ability_beastmaster_summon_dinosaur_Description"  "召唤远古豪猪恐龙, 拥有着强大的力量!"
                "DOTA_Tooltip_ability_beastmaster_summon_dinosaur_duration"             "持续时间: "

                "npc_dota_dinosaur"                     "豪猪恐龙"
                
//Roshan Son

                "npc_dota_hero_treant"                  "肉山之子"
                
                "DOTA_Tooltip_ability_creature_fire_breath"                                                             "火焰吐息"
                "DOTA_Tooltip_ability_creature_fire_breath_projectile_count"                    "波数 :"
                "DOTA_Tooltip_ability_creature_fire_breath_damage"                                              "伤害 :"
                "DOTA_Tooltip_ability_creature_fire_breath_radius"                                              "范围 :"

                "DOTA_Tooltip_ability_roshan_clap_datadriven"                                                                   "肉山重击"
                "DOTA_Tooltip_ability_roshan_clap_datadriven_Description"       "对地面的强力打击会对附近的敌人造成伤害并减慢速度.<font color='#DBA900'><br>E每一层成长都会增加技能的伤害! </font>"
                "DOTA_Tooltip_ability_roshan_clap_datadriven_radius"                    "范围 :"
                "DOTA_Tooltip_ability_roshan_clap_datadriven_damage"                    "伤害:"
                "DOTA_Tooltip_ability_roshan_clap_datadriven_damage_per_stack"                  "每层伤害 :"
                "DOTA_Tooltip_ability_roshan_clap_datadriven_duration"                  "减速范围 :"
                "DOTA_Tooltip_ability_roshan_clap_datadriven_attack_speed_slow"                 "%减速 :"

                "DOTA_Tooltip_ability_roshan_summon_clone"                                                                      "肉山克隆"
                "DOTA_Tooltip_ability_roshan_summon_clone_Description"          "召唤一只克隆的肉山 .<font color='#DBA900'><br>每分钟都变的更强! </font>"
                "DOTA_Tooltip_ability_roshan_summon_clone_duration"                     "持续时间 :"
                
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven"                                                                   "长大"
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_Description"       "肉山的儿子每分钟都会变得更强大! <font color='#DBA900'><br>被动: 巨力重击 <br> 肉山的攻击带有巨大的力量. 造成致命伤害并使目标晕眩! 致命伤害值取决于肉山的力量! </font>"
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_Lore"                      "据说他用合成代谢增加体重 ..."
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_grow_interval"                     "生长间隔 :"
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_grow_str"                          "生长力量 :"
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_grow_armor"                        "生长护甲 :"
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_grow_model"                        "%生长体型:"
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_crit_chance"                       "%触发概率 :"
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_crit_per_str"                      "%每点力量致命一击倍率 :"
                "DOTA_Tooltip_ability_roshan_inherit_buff_datadriven_stun_duration"                     "眩晕持续时间 :"

                "DOTA_Tooltip_ability_roshan_create_aegis"                                      "创造不朽盾"
                "DOTA_Tooltip_ability_roshan_create_aegis_Description"          "创造不朽盾!"

//Chen

                "npc_dota_hero_chen"                    "大主教"
                
                "DOTA_Tooltip_ability_inherit_chen_buff"                                                                        "大主教增强"
                "DOTA_Tooltip_ability_inherit_chen_buff_Description"                                            "神秘的英雄, 为了战胜最强大的敌人，只为帮助忠诚的盟友而生!"
                "DOTA_Tooltip_ability_inherit_chen_buff_armor_bonus"                                            "%额外伤害 :"
                "DOTA_Tooltip_ability_inherit_chen_buff_hp_bonus"                                               "%额外生命值:"
                "DOTA_Tooltip_modifier_inherit_chen_buff"                                                               "大主教增强"
                "DOTA_Tooltip_modifier_inherit_chen_buff_Description"                                   "所有生灵的朋友"
                
                "DOTA_Tooltip_ability_aibolit_penitence_datadriven"                                     "赎罪"
                "DOTA_Tooltip_ability_aibolit_penitence_datadriven_Description"         "减弱敌人或增加队友移动速度和伤害 ! "
                "DOTA_Tooltip_ability_aibolit_penitence_datadriven_duration"            "持续时间:"
                "DOTA_Tooltip_ability_aibolit_penitence_datadriven_bonus_movement_speed"                "%减少/增加 移动速度:"
                "DOTA_Tooltip_ability_aibolit_penitence_datadriven_minus_damage_taken"                  "%降低/提高 伤害"
                "DOTA_Tooltip_modifier_negative_penitence_datadriven"                                                           "耐心"
                "DOTA_Tooltip_modifier_negative_penitence_datadriven_Description"                                       "弱化"
                "DOTA_Tooltip_modifier_positive_penitence_datadriven"                                                           "耐心"
                "DOTA_Tooltip_modifier_positive_penitence_datadriven_Description"                                       "增强"

                
                "DOTA_Tooltip_ability_aibolit_holy_persuasion_datadriven"                                       "感召!"
                "DOTA_Tooltip_ability_aibolit_holy_persuasion_datadriven_Description"           "感召一个友方单位入教,并 增加其护甲和攻击速度!"
                "DOTA_Tooltip_ability_aibolit_holy_persuasion_datadriven_max_units"                     "最多单位数量:"
                "DOTA_Tooltip_ability_aibolit_holy_persuasion_datadriven_as_bonus"                      "攻击速度加成:"
                "DOTA_Tooltip_ability_aibolit_holy_persuasion_datadriven_armor_bonus"           "护甲加成:"
                "DOTA_Tooltip_modifier_holy_persuasion_datadriven"                                                      "艾伯利特的朋友!"
                "DOTA_Tooltip_modifier_holy_persuasion_datadriven_Description"                          "真正的朋友!"

                
                "DOTA_Tooltip_ability_aibolit_purification_datadriven"                                  "洗礼"
                "DOTA_Tooltip_ability_aibolit_purification_datadriven_Description"              "立即治疗一个友方单位，并对周围的敌军造成伤害! 属于大主教的单位收到叠加效果, 否则效果是暂时的!"
                "DOTA_Tooltip_ability_aibolit_purification_datadriven_heal"                             "治疗/伤害:"
                "DOTA_Tooltip_ability_aibolit_purification_datadriven_buff_duration"    "持续时间:"
                "DOTA_Tooltip_ability_aibolit_purification_datadriven_radius"                   "范围:"
                "DOTA_Tooltip_ability_aibolit_purification_datadriven_bonus_dmg"                "%额外伤害 :"
                "DOTA_Tooltip_ability_aibolit_purification_datadriven_bonus_hp"                 "%额外生命值:"
                "DOTA_Tooltip_modifier_power_up_buff"                                                           "洗礼"
                "DOTA_Tooltip_modifier_power_up_buff_Description"                                       "增强"

                
                "DOTA_Tooltip_ability_aibolit_true_promise"                                     "神圣牺牲"
                "DOTA_Tooltip_ability_aibolit_true_promise_Description"         "大主教准备为他的教友做任何事，甚至是自我牺牲！给予所有盟友神圣的保护，增加所有盟友的生命恢复速度！同时增加所有英雄的属性! <br> 艾伯利特在10秒后重生 ."
                "DOTA_Tooltip_ability_aibolit_true_promise_duration"                            "持续时间:"
                "DOTA_Tooltip_ability_aibolit_true_promise_hp_reg"                                      "生命恢复 :"
                "DOTA_Tooltip_ability_aibolit_true_promise_bonus_stat"                          "额外属性:"
                "DOTA_Tooltip_modifier_guardian_angel"                                                          "保护"
                "DOTA_Tooltip_modifier_guardian_angel_Description"                                      "对伤害免疫"
                "DOTA_Tooltip_modifier_true_promise_permament"                                          "洗礼"
                "DOTA_Tooltip_modifier_true_promise_permament_Description"                      "属性增加"

                "DOTA_Tooltip_ability_aibolit_angel_of_vengeance"                                       "复仇天使"
                "DOTA_Tooltip_ability_aibolit_angel_of_vengeance_Description"           "艾伯利特报复给他朋友带来的痛苦的生物。变成一个强大的复仇天使，摧毁一切!"
                "DOTA_Tooltip_ability_aibolit_angel_of_vengeance_duration"                              "持续时间:"
                "DOTA_Tooltip_ability_aibolit_angel_of_vengeance_base_attack_time"                      "攻击间隔:"
                "DOTA_Tooltip_ability_aibolit_angel_of_vengeance_bonus_damage"                          "额外伤害:"
                "DOTA_Tooltip_ability_aibolit_angel_of_vengeance_armor_bonus"                           "额外护甲:"
                "DOTA_Tooltip_ability_aibolit_angel_of_vengeance_hp_bonus"                                      "额外生命:"

//Spartacus

                "npc_dota_hero_omniknight"                      "斯巴达克斯"
                "npc_dota_hero_omniknight_bio"          "斯巴达克斯 - 革命者的领袖，他决定打破无谓无情战争的恶性循环. "
                

        
                "DOTA_Tooltip_ability_spartacus_call_of_allies"                                 "战友的召唤"
                "DOTA_Tooltip_ability_spartacus_call_of_allies_Description"             "当受到一定伤害值时, 斯巴达克斯召唤他全副武装的战友和他一起战斗!"
                "DOTA_Tooltip_ability_spartacus_call_of_allies_health_trigger"          "%触发生命值:"
                "DOTA_Tooltip_ability_spartacus_call_of_allies_summon_duration"         "持续时间:"
                "DOTA_Tooltip_ability_spartacus_call_of_allies_str_dmg"         "%力量伤害:"
                "DOTA_Tooltip_ability_spartacus_call_of_allies_base_armor"              "基础护甲:"
                "DOTA_Tooltip_ability_spartacus_call_of_allies_base_dmg"                "基础伤害:"
                "DOTA_Tooltip_ability_spartacus_call_of_allies_base_hp"         "基础生命:"
                "DOTA_Tooltip_ability_spartacus_call_of_allies_health_pct"              "%英雄最大生命值:"

                
                "DOTA_Tooltip_ability_spartacus_clap"                                   "雷霆一击"
                "DOTA_Tooltip_ability_spartacus_clap_Description"               "对地面的强力打击会对半径范围内的所有人造成伤害，减慢速度并减少护甲 ! "
                "DOTA_Tooltip_ability_spartacus_clap_radius"    "范围:"
                "DOTA_Tooltip_ability_spartacus_clap_duration"  "持续时间:"
                "DOTA_Tooltip_ability_spartacus_clap_damage"    "伤害:"
                "DOTA_Tooltip_ability_spartacus_clap_armor_debuff"      "护甲减少:"
                "DOTA_Tooltip_ability_spartacus_clap_attack_speed_slow" "攻击速度减慢:"
                "DOTA_Tooltip_modifier_spartacus_clap"                                          "雷霆一击"
                "DOTA_Tooltip_modifier_spartacus_clap_Description"                      "被减速和缴械"

                
                "DOTA_Tooltip_ability_spartacus_fire_of_souls"                                  "灵魂之火"
                "DOTA_Tooltip_ability_spartacus_fire_of_souls_Description"              "鼓励他的战友们，增加他们的护甲和生命恢复!"
                "DOTA_Tooltip_ability_spartacus_fire_of_souls_duration"         "持续时间:"
                "DOTA_Tooltip_ability_spartacus_fire_of_souls_radius"           "范围:"
                "DOTA_Tooltip_ability_spartacus_fire_of_souls_armor_bonus"      "额外护甲 :"
                "DOTA_Tooltip_ability_spartacus_fire_of_souls_regen_bonus"      "额外恢复:"
                "DOTA_Tooltip_modifier_spartacus_fire_of_souls"                                         "灵魂之火"
                "DOTA_Tooltip_modifier_spartacus_fire_of_souls_Description"                     "额外护甲和生命恢复"

                
                "DOTA_Tooltip_ability_spartacus_sword_of_vengance"                                      "复仇之剑"
                "DOTA_Tooltip_ability_spartacus_sword_of_vengance_Description"          "能够缴械目标的强力打击!"
                "DOTA_Tooltip_ability_spartacus_sword_of_vengance_trigger_chance"                               "%暴击概率:"
                "DOTA_Tooltip_ability_spartacus_sword_of_vengance_ability_damage"                               "伤害:"
                "DOTA_Tooltip_ability_spartacus_sword_of_vengance_debuff_duration"                              "缴械持续时间:"

                "DOTA_Tooltip_ability_spartacus_elite_squad"                                    "精英小队"
                "DOTA_Tooltip_ability_spartacus_elite_squad_Description"                "召唤一队精英革命军战士!"
                "DOTA_Tooltip_ability_spartacus_elite_squad_summon_duration"                    "召唤持续时间:"
                "DOTA_Tooltip_ability_spartacus_elite_squad_count_soldier"                              "士兵:"
                "DOTA_Tooltip_ability_spartacus_elite_squad_count_mage"                                 "法师:"
                "DOTA_Tooltip_ability_spartacus_elite_squad_count_siege"                                "弩炮:"
                "DOTA_Tooltip_ability_spartacus_elite_squad_count_commander"                    "指挥官 :"

                "npc_dota_spartacus_summon"                                     "士兵"
                "npc_dota_spartacus_soldier1"                           "有经验的士兵"
                "npc_dota_spartacus_soldier2"                           "精锐战士"
                "npc_dota_spartacus_mage1"                                      "法师"
                "npc_dota_spartacus_mage2"                                      "精锐法师"
                "npc_dota_spartacus_siege"                                      "弩炮"
                "npc_dota_spartacus_commander"                          "指挥官"

                "DOTA_Tooltip_ability_spartacus_leader_blood"                                   "领袖血统"
                "DOTA_Tooltip_ability_spartacus_leader_blood_Description"               "受到的任何伤害都会恢复范围内的队友!"
                "DOTA_Tooltip_ability_spartacus_leader_blood_radius"                            "范围:"
                "DOTA_Tooltip_ability_spartacus_leader_blood_dmg_convert"                       "%伤害转换:"

//Renegade

                "npc_dota_hero_life_stealer"                    "叛逆者"
                "npc_dota_hero_life_stealer_bio"                "叛逆者 - 叛逆的野心勃勃的人，他决定背叛夜餍，加入肉山，获得无限的权力!"

                "DOTA_Tooltip_ability_renegade_backtrack"                                                                       "回溯"
                "DOTA_Tooltip_ability_renegade_backtrack_Description"                                           "背叛者的敏捷可以闪避任何物理和魔法攻击!"
                "DOTA_Tooltip_ability_renegade_backtrack_dodge_chance_pct"                                      "%闪避概率 :"

                
                "DOTA_Tooltip_ability_renegade_blade_dance"                                     "刃舞"
                "DOTA_Tooltip_ability_renegade_blade_dance_Description"         "以闪电般的速度猛击敌人，使敌人措手不及!"
                "DOTA_Tooltip_ability_renegade_blade_dance_bounce_distance"             "跳跃距离:"
                "DOTA_Tooltip_ability_renegade_blade_dance_count"               "攻击次数:"

                
                "DOTA_Tooltip_ability_renegade_assasin_mark"                                    "刺客标记"
                "DOTA_Tooltip_ability_renegade_assasin_mark_Description"                "标记一个目标并使攻击该目标的单位提升攻击速度! "
                "DOTA_Tooltip_ability_renegade_assasin_mark_debuff_duration"    "负面效果持续时间:"
                "DOTA_Tooltip_ability_renegade_assasin_mark_buff_duration"      "效果持续时间:"
                "DOTA_Tooltip_ability_renegade_assasin_mark_attack_speed"       "攻击速度加成:"
                "DOTA_Tooltip_modifier_renegade_assasin_mark_debuff"                                            "刺客标记"
                "DOTA_Tooltip_modifier_renegade_assasin_mark_debuff_Description"                        "增加攻击速度."

                
                "DOTA_Tooltip_ability_renegade_endless_sharpening"                                      "无尽的磨砺"
                "DOTA_Tooltip_ability_renegade_endless_sharpening_Description"          "对杀戮的无尽渴望磨砺了叛徒的刀锋，增强了攻击力!"
                "DOTA_Tooltip_ability_renegade_endless_sharpening_stack_bonus_dmg"      "每次击杀伤害:"
                "DOTA_Tooltip_modifier_damage_heap_collector"                                           "无尽的磨砺"
                "DOTA_Tooltip_modifier_damage_heap_collector_Description"                       "每次击杀伤害"

                
                "DOTA_Tooltip_ability_renegade_coup_de_grace_datadriven"                                        "恩赐解脱"
                "DOTA_Tooltip_ability_renegade_coup_de_grace_datadriven_Description"            "叛逆者的技能使他有可能对敌人造成致命的伤害! <br> The active ability enables critical attack for the next attack."
                "DOTA_Tooltip_ability_renegade_coup_de_grace_datadriven_crit_bonus"                             "%伤害倍数:"
                "DOTA_Tooltip_ability_renegade_coup_de_grace_datadriven_crit_chance"                            "%暴击概率:"
                "DOTA_Tooltip_ability_renegade_coup_de_grace_datadriven_duration"                               "持续时间:"
                "DOTA_Tooltip_modifier_coup_de_grace_crit_active"                                               "恩赐解脱"
                "DOTA_Tooltip_modifier_coup_de_grace_crit_active_Description"                   "下一次攻击将是暴击!"

                "DOTA_Tooltip_ability_renegade_renegade_rage"                                   "叛逆者的愤怒"
                "DOTA_Tooltip_ability_renegade_renegade_rage_Description"               "叛徒的无尽狂怒助攻!"
                "DOTA_Tooltip_ability_renegade_renegade_rage_bonus_dmg"                         "%额外伤害:"
                "DOTA_Tooltip_modifier_renegade_renegade_rage"                                          "愤怒"
                "DOTA_Tooltip_modifier_renegade_renegade_rage_Description"                      "伤害增加!"

//Drow Ranger (Special hero)

                "npc_dota_hero_drow_ranger"                     "卓尔游侠"

                "DOTA_Tooltip_ability_drow_ranger_split_shot"                                                           "分裂箭"
                "DOTA_Tooltip_ability_drow_ranger_split_shot_Description"                                       "卓尔游侠神奇地将她的攻击分成几支箭。这些箭造成的伤害低于正常伤害.\n\n额外目标不会受到其他攻击效果 (如暴击)."
                "DOTA_Tooltip_ability_drow_ranger_split_shot_damage_modifier_tooltip"           "%分裂箭伤害:"
                "DOTA_Tooltip_ability_drow_ranger_split_shot_arrow_count"                               "额外目标:"


                "DOTA_Tooltip_ability_drow_ranger_extra_agility"        "灵巧"
                "DOTA_Tooltip_ability_drow_ranger_extra_agility_Description"    "短暂的提高敏捷."
                "DOTA_Tooltip_ability_drow_ranger_extra_agility_duration"               "持续时间:"
                "DOTA_Tooltip_ability_drow_ranger_extra_agility_agility_bonus"  "额外敏捷:"
                "DOTA_Tooltip_modifier_drow_ranger_extra_agility"                "灵巧"
                "DOTA_Tooltip_modifier_drow_ranger_extra_agility_Description"    "增加敏捷"

                "DOTA_Tooltip_ability_drow_ranger_powershot"    "强力击"
                "DOTA_Tooltip_ability_drow_ranger_powershot_Description"        "卓尔游侠对她的弓充能一次，强力射击最多1秒，充能时间越长造成的伤害越大。箭会沿着它的路线伤害敌人."
                "DOTA_Tooltip_ability_drow_ranger_powershot_arrow_range"                "距离:"
                "DOTA_Tooltip_ability_drow_ranger_powershot_agility_dmg"                "每点敏捷伤害:"

                "DOTA_Tooltip_ability_drow_ranger_marksmanship_custom"                                                                  "射手天赋"
                "DOTA_Tooltip_ability_drow_ranger_marksmanship_custom_Description"                                              "卓尔在战斗中的经验提高了她在战斗中的准确性和有效性，为敏捷性提供了被动的奖励."
                "DOTA_Tooltip_ability_drow_ranger_marksmanship_custom_Lore"                                                     "卓尔游侠是射箭技艺的缩影."
                "DOTA_Tooltip_ability_drow_ranger_marksmanship_custom_agility_bonus"                    "额外敏捷:"

                "DOTA_Tooltip_ability_drow_ranger_hunter_skill" "猎人技能"
                "DOTA_Tooltip_ability_drow_ranger_hunter_skill_Description"     "猎人的经验使英雄有机会每次命中都增加敏捷!"
                "DOTA_Tooltip_ability_drow_ranger_hunter_skill_agility_bonus"   "每层敏捷:"
                "DOTA_Tooltip_ability_drow_ranger_hunter_skill_hits_required"   "每层攻击:"
                "DOTA_Tooltip_modifier_drow_ranger_hunter_skill"                   "猎人技能"
                "DOTA_Tooltip_modifier_drow_ranger_hunter_skill_Description"       "变得更加灵活 !"

//Phantom Assassin(Special hero)

                "npc_dota_hero_phantom_assassin"                        "幻影刺客"

                "DOTA_Tooltip_ability_imba_phantom_assassin_triple_blow"                        "三连击"
                "DOTA_Tooltip_ability_imba_phantom_assassin_triple_blow_Description"            "利用杀手的技能，进行一系列的闪电攻击!"
                "DOTA_Tooltip_ability_imba_phantom_assassin_triple_blow_max_hits"               "攻击次数:"

                "DOTA_Tooltip_ability_phantom_assassin_adrenaline"                        "肾上腺素"
                "DOTA_Tooltip_ability_phantom_assassin_adrenaline_Description"            "感受到肾上腺素的激增，加快了攻击和移动的速度! "
                "DOTA_Tooltip_ability_phantom_assassin_adrenaline_duration"               "持续时间:"
                "DOTA_Tooltip_ability_phantom_assassin_adrenaline_ms_bonus"               "%额外移速:"
                "DOTA_Tooltip_ability_phantom_assassin_adrenaline_as_bonus"               "%额外攻速:"

                "DOTA_Tooltip_ability_phantom_assassin_blur_custom"                        "模糊"
                "DOTA_Tooltip_ability_phantom_assassin_blur_custom_Description"            "幻影刺客专注于内心，提高了她躲避敌人攻击的能力."
                "DOTA_Tooltip_ability_phantom_assassin_blur_custom_bonus_evasion"          "%闪避:"

                "DOTA_Tooltip_ability_imba_phantom_assassin_stifling_dagger"                        "窒息之匕"
                "DOTA_Tooltip_ability_imba_phantom_assassin_stifling_dagger_Description"            "向敌人投掷匕首，当匕首连接时以额外伤害攻击敌人。窒息匕首可以触发任何命中效果，如暴击、猛击或溅射."       
                "DOTA_Tooltip_ability_imba_phantom_assassin_stifling_dagger_Lore"                   "面纱修女们学到的第一项技能通常预示着即将到来的打击."
                "DOTA_Tooltip_ability_imba_phantom_assassin_stifling_dagger_move_slow"              "%移速减缓:"
                "DOTA_Tooltip_ability_imba_phantom_assassin_stifling_dagger_slow_duration"          "减速持续时间:"
                "DOTA_Tooltip_ability_imba_phantom_assassin_stifling_dagger_bonus_damage"           "匕首伤害:"
//              "DOTA_Tooltip_ability_imba_phantom_assassin_stifling_dagger_aghanim_description"    "莫特雷德在第一把匕首之后再投掷3把匕首；这些匕首攻击范围内的任意敌人，但不能多次击中同一目标，除非该区域内的敌人少于匕首."
                "DOTA_Tooltip_ability_imba_phantom_assassin_stifling_dagger_cast_range"             "范围:"

                "DOTA_Tooltip_modifier_imba_stifling_dagger_slow"                                   "窒息之匕"
                "DOTA_Tooltip_modifier_imba_stifling_dagger_slow_Description"                       "降低敌人移速并给予敌人视野"

